jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2003;Dr. Norbert Ertler, Graz;FB / Privatbad  ;21;m³/h;21 m³/h;AT;47.0707;15.4395;;;;;;;;;
2003;Thermenhotel Ronacher, Bad Kleinkirchheim;Solebecken  ;41;m³/h;41 m³/h;AT;46.8133;13.7908;;;;;;;;;
2004;Kirchberg an der Pielach;FB;87/485;m³/h;87/485 m³/h;AT;48.0147;15.3483;;;;;;;;;
2004;Monte Verde;FB;42;m³/h;42 m³/h;AT;48.168690304190456;16.344550151255937;;;;;;;;;
2004;Lutzmannsburg;FB Whirlpool;42;m³/h;42 m³/h;AT;47.4461;16.5042;;;;;;;;;
2004;Holmes Place Linz;HB;94/54;m³/h;94/54 m³/h;AT;48.3058;14.2842;;;;;;;;;
2004;Albrechtsberg;FB;185;m³/h;185 m³/h;AT;48.4667;15.2333;;;;;;;;;
2004;Grand Hotel Viktoria;HB;45;m³/h;45 m³/h;CH;46.6928;7.8631;;;;;;;;;
2004;Strebersdorf;FB Familienbecken;431;m³/h;431 m³/h;AT;48.2944;16.405;;;;;;;;;
2004;Sinabelkirchen;Badesee;90;m³/h;90 m³/h;AT;47.05;15.8167;;;;;;;;;
2004;Neunkirchen;FB Erlebnisbecken  ;250;m³/h;250 m³/h;AT;47.7225;16.0783;;;;;;;;;
2004;Stammersdorf;FB Familienbecken  ;60;m³/h;60 m³/h;AT;48.3017;16.3946;;;;;;;;;
2004;Wenigzell;HB Erlebnisbecken  ;146;m³/h;146 m³/h;AT;47.4333;15.85;;;;;;;;;
2004;Glanzing;HB Wohnhausanlage  ;45;m³/h;45 m³/h;AT;48.2447;16.317;;;;;;;;;
2004;Kapfenberg;HB Saunabereich ;248;m³/h;248 m³/h;AT;47.44;15.2878;;;;;;;;;
2004;Mag. Alfred Wall, Graz;HB Privatbad ;30;m³/h;30 m³/h;AT;47.0707;15.4395;;;;;;;;;
2004;Vöest Alpine Turbolars, Kindberg;Therapiebecken;35;m³/h;35 m³/h;AT;47.5167;15.4333;;;;;;;;;
2004;Bioterme, Mala Nedelja;Therme;1165;m³/h;1165 m³/h;SLO;46.5726;16.0457;;;;;;;;;
2004;Therme Nova Köflach;Therme / Innen-/Außenbecken 809 m³/h, Grotte, Whirlpool, Kinderbecken 474 m³/h, Rutschenlandebecken 145 m³/h, Schwimmerbecken 100 m³/h, Kaltbecken 14 m³/h, Hotelbecken 76 m³/h;;;;AT;47.0717;15.0917;;;;;;;;;
2004;Stegersbach;Therme/ Hotel Bad  ;500;m³/h;500 m³/h;AT;47.1667;16.1167;;;;;;;;;
2004;Frohnleiten;FB;700;m³/h;700 m³/h;AT;47.2667;15.3167;;;;;;;;;
